Ranking,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Rank 1,"('WANG Liqin', [1, 1, 1, 1])","('MA Lin', [1, 1, 2, 2])","('MA Lin', [1, 1, 2, 2])","('WANG Hao', [1, 1, 2, 2])","('WANG Liqin', [1, 1, 1, 1])","('WANG Liqin', [1, 1, 1, 1])","('WANG Hao', [1, 1, 2, 2])","('WANG Hao', [1, 1, 2, 2])","('WANG Hao', [1, 1, 2, 2])","('MA Long', [1, 1, 1, 1])","('MA Long', [1, 1, 1, 1])","('ZHANG Jike', [1, 1, 1, 1])","('MA Long', [1, 1, 1, 1])","('XU Xin', [2, 1, 2, 2])","('MA Long', [1, 1, 1, 1])","('MA Long', [1, 1, 1, 1])","('MA Long', [1, 1, 1, 1])","('FAN Zhendong', [1, 1, 1, 1])","('XU Xin', [2, 1, 2, 2])","('FAN Zhendong', [1, 1, 1, 1])"
Rank 2,"('SAMSONOV Vladimir', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('WANG Liqin', [1, 1, 1, 1])","('WANG Liqin', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('MA Lin', [1, 1, 2, 2])","('MA Lin', [1, 1, 2, 2])","('MA Lin', [1, 1, 2, 2])","('MA Long', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('ZHANG Jike', [1, 1, 1, 1])","('MA Long', [1, 1, 1, 1])","('XU Xin', [2, 1, 2, 2])","('MA Long', [1, 1, 1, 1])","('FAN Zhendong', [1, 1, 1, 1])","('FAN Zhendong', [1, 1, 1, 1])","('FAN Zhendong', [1, 1, 1, 1])","('XU Xin', [2, 1, 2, 2])","('FAN Zhendong', [1, 1, 1, 1])","('XU Xin', [2, 1, 2, 2])"
Rank 3,"('MA Lin', [1, 1, 2, 2])","('WANG Liqin', [1, 1, 1, 1])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('MA Lin', [1, 1, 2, 2])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('WANG Liqin', [1, 1, 1, 1])","('MA Long', [1, 1, 1, 1])","('MA Lin', [1, 1, 2, 2])","('WANG Hao', [1, 1, 2, 2])","('WANG Hao', [1, 1, 2, 2])","('XU Xin', [2, 1, 2, 2])","('ZHANG Jike', [1, 1, 1, 1])","('FAN Zhendong', [1, 1, 1, 1])","('XU Xin', [2, 1, 2, 2])","('XU Xin', [2, 1, 2, 2])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('MA Long', [1, 1, 1, 1])","('MA Long', [1, 1, 1, 1])"
Rank 4,"('LIU Guozheng', [1, 1, 1, 1])","('SCHLAGER Werner', [1, 1, 1, 1])","('WANG Hao', [1, 1, 2, 2])","('RYU Seungmin', [1, 1, 2, 2])","('MA Lin', [1, 1, 2, 2])","('WANG Hao', [1, 1, 2, 2])","('MA Long', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('BOLL Timo', [2, 1, 1, 2])","('ZHANG Jike', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('WANG Hao', [1, 1, 2, 2])","('WANG Hao', [1, 1, 2, 2])","('ZHANG Jike', [1, 1, 1, 1])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('ZHANG Jike', [1, 1, 1, 1])","('XU Xin', [2, 1, 2, 2])","('LIN Gaoyuan', [2, 1, 1, 2])","('LIN Gaoyuan', [2, 1, 1, 2])","('LIN Gaoyuan', [2, 1, 1, 2])"
Rank 5,"('KONG Linghui', [1, 1, 1, 1])","('KONG Linghui', [1, 1, 1, 1])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('WANG Hao', [1, 1, 2, 2])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('WANG Liqin', [1, 1, 1, 1])","('WANG Liqin', [1, 1, 1, 1])","('MA Lin', [1, 1, 2, 2])","('XU Xin', [2, 1, 2, 2])","('BOLL Timo', [2, 1, 1, 2])","('FAN Zhendong', [1, 1, 1, 1])","('MIZUTANI Jun', [2, 1, 1, 2])","('ZHANG Jike', [1, 1, 1, 1])","('MIZUTANI Jun', [2, 1, 1, 2])","('BOLL Timo', [2, 1, 1, 2])","('HARIMOTO Tomokazu', [1, 1, 1, 1])","('HARIMOTO Tomokazu', [1, 1, 1, 1])","('HARIMOTO Tomokazu', [1, 1, 1, 1])"
Rank 6,"('CHIANG Peng-Lung', [2, 1, 1, 2])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('CHEN Qi', [2, 1, 1, 2])","('OH Sangeun', [1, 1, 1, 1])","('CHEN Qi', [2, 1, 1, 2])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('WANG Liqin', [1, 1, 1, 1])","('MA Lin', [1, 1, 2, 2])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('WANG Hao', [1, 1, 2, 2])","('MIZUTANI Jun', [2, 1, 1, 2])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('LIN Gaoyuan', [2, 1, 1, 2])","('CALDERANO Hugo', [1, 1, 1, 1])","('CALDERANO Hugo', [1, 1, 1, 1])","('CALDERANO Hugo', [1, 1, 1, 1])"
Rank 7,"('KIM Taeksoo', [1, 2, 1, 2])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('KREANGA Kalinikos', [1, 1, 1, 1])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('RYU Seungmin', [1, 1, 2, 2])","('OH Sangeun', [1, 1, 1, 1])","('CHEN Qi', [2, 1, 1, 2])","('CHEN Qi', [2, 1, 1, 2])","('CHEN Qi', [2, 1, 1, 2])","('WANG Liqin', [1, 1, 1, 1])","('MA Lin', [1, 1, 2, 2])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('YAN An', [1, 1, 1, 1])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('WONG Chun Ting', [1, 1, 2, 2])","('MIZUTANI Jun', [2, 1, 1, 2])","('LEE Sangsu', [1, 1, 1, 1])","('LIN Yun-Ju', [2, 1, 1, 2])","('LIN Yun-Ju', [2, 1, 1, 2])"
Rank 8,"('LIU Guoliang', [1, 2, 2, 2])","('KREANGA Kalinikos', [1, 1, 1, 1])","('LIU Guozheng', [1, 1, 1, 1])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('CHEN Qi', [2, 1, 1, 2])","('RYU Seungmin', [1, 1, 2, 2])","('RYU Seungmin', [1, 1, 2, 2])","('RYU Seungmin', [1, 1, 2, 2])","('JOO Saehyuk', [1, 2, 1, 2])","('JOO Saehyuk', [1, 2, 1, 2])","('MIZUTANI Jun', [2, 1, 1, 2])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('FREITAS Marcos', [2, 1, 1, 2])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('NIWA Koki', [2, 1, 1, 2])","('WONG Chun Ting', [1, 1, 2, 2])","('LIANG Jingkun', [1, 1, 1, 1])","('FALCK Mattias', [1, 1, 1, 1])"
Rank 9,"('WALDNER Jan-Ove', [1, 1, 1, 1])","('SAIVE Jean-Michel', [1, 1, 1, 1])","('KONG Linghui', [1, 1, 1, 1])","('SCHLAGER Werner', [1, 1, 1, 1])","('SAIVE Jean-Michel', [1, 1, 1, 1])","('SCHLAGER Werner', [1, 1, 1, 1])","('OH Sangeun', [1, 1, 1, 1])","('HAO Shuai', [2, 1, 1, 2])","('HAO Shuai', [2, 1, 1, 2])","('XU Xin', [2, 1, 2, 2])","('JOO Saehyuk', [1, 2, 1, 2])","('WANG Liqin', [1, 1, 1, 1])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('ZHANG Jike', [1, 1, 1, 1])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('FALCK Mattias', [1, 1, 1, 1])","('LIANG Jingkun', [1, 1, 1, 1])"
Rank 10,"('SCHLAGER Werner', [1, 1, 1, 1])","('PRIMORAC Zoran', [1, 1, 1, 1])","('SCHLAGER Werner', [1, 1, 1, 1])","('KREANGA Kalinikos', [1, 1, 1, 1])","('KREANGA Kalinikos', [1, 1, 1, 1])","('CHEN Weixing', [1, 2, 1, 2])","('GAO Ning', [1, 1, 1, 1])","('JOO Saehyuk', [1, 2, 1, 2])","('OH Sangeun', [1, 1, 1, 1])","('MIZUTANI Jun', [2, 1, 1, 2])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('MIZUTANI Jun', [2, 1, 1, 2])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('YAN An', [1, 1, 1, 1])","('FANG Bo', [1, 1, 1, 1])","('JEOUNG Youngsik', [1, 1, 1, 1])","('LEE Sangsu', [1, 1, 1, 1])","('NIWA Koki', [2, 1, 1, 2])","('BOLL Timo', [2, 1, 1, 2])","('BOLL Timo', [2, 1, 1, 2])"
Rank 11,"('ROSSKOPF Jorg', [2, 1, 1, 2])","('CHIANG Peng-Lung', [2, 1, 1, 2])","('CHEN Qi', [2, 1, 1, 2])","('KONG Linghui', [1, 1, 1, 1])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('JOO Saehyuk', [1, 2, 1, 2])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('KREANGA Kalinikos', [1, 1, 1, 1])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('MA Lin', [1, 1, 2, 2])","('FREITAS Marcos', [2, 1, 1, 2])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('GAUZY Simon', [1, 1, 1, 1])","('MA Long', [1, 1, 1, 1])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('JANG Woojin', [1, 1, 1, 1])"
Rank 12,"('KREANGA Kalinikos', [1, 1, 1, 1])","('WANG Hao', [1, 1, 2, 2])","('RYU Seungmin', [1, 1, 2, 2])","('SAIVE Jean-Michel', [1, 1, 1, 1])","('LIU Guozheng', [1, 1, 1, 1])","('LI Ching', 99)","('LI Ching', 99)","('OH Sangeun', [1, 1, 1, 1])","('MAZE Michael', [2, 1, 1, 2])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('OH Sangeun', [1, 1, 1, 1])","('JOO Saehyuk', [1, 2, 1, 2])","('WANG Liqin', [1, 1, 1, 1])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('WONG Chun Ting', [1, 1, 2, 2])","('FREITAS Marcos', [2, 1, 1, 2])","('FANG Bo', [1, 1, 1, 1])","('FALCK Mattias', [1, 1, 1, 1])","('NIWA Koki', [2, 1, 1, 2])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])"
Rank 13,"('PRIMORAC Zoran', [1, 1, 1, 1])","('WALDNER Jan-Ove', [1, 1, 1, 1])","('CHIANG Peng-Lung', [2, 1, 1, 2])","('CHIANG Peng-Lung', [2, 1, 1, 2])","('CRISAN Adrian', [1, 1, 1, 1])","('HOU ^^ Yingchao', 99)","('HAO Shuai', [2, 1, 1, 2])","('SCHLAGER Werner', [1, 1, 1, 1])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('OH Sangeun', [1, 1, 1, 1])","('CHEN Qi', [2, 1, 1, 2])","('HAO Shuai', [2, 1, 1, 2])","('MIZUTANI Jun', [2, 1, 1, 2])","('NIWA Koki', [2, 1, 1, 2])","('JEOUNG Youngsik', [1, 1, 1, 1])","('FANG Bo', [1, 1, 1, 1])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('MIZUTANI Jun', [2, 1, 1, 2])","('JANG Woojin', [1, 1, 1, 1])","('JEOUNG Youngsik', [1, 1, 1, 1])"
Rank 14,"('BOLL Timo', [2, 1, 1, 2])","('LIU Guoliang', [1, 2, 2, 2])","('SMIRNOV Alexey', [1, 1, 1, 1])","('MAZE Michael', [2, 1, 1, 2])","('CHEN Weixing', [1, 2, 1, 2])","('JOO Saehyuk', [1, 2, 1, 2])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('KREANGA Kalinikos', [1, 1, 1, 1])","('SCHLAGER Werner', [1, 1, 1, 1])","('CHEN Qi', [2, 1, 1, 2])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('JIANG Tianyi', [2, 1, 1, 2])","('HAO Shuai', [2, 1, 1, 2])","('GAO Ning', [1, 1, 1, 1])","('NIWA Koki', [2, 1, 1, 2])","('LEE Sangsu', [1, 1, 1, 1])","('WONG Chun Ting', [1, 1, 2, 2])","('FRANZISKA Patrick', [1, 1, 1, 1])","('MIZUTANI Jun', [2, 1, 1, 2])","('WANG Chuqin', [2, 1, 1, 2])"
Rank 15,"('SAIVE Jean-Michel', [1, 1, 1, 1])","('LIU Guozheng', [1, 1, 1, 1])","('OH Sangeun', [1, 1, 1, 1])","('LIU Guozheng', [1, 1, 1, 1])","('HAO Shuai', [2, 1, 1, 2])","('KREANGA Kalinikos', [1, 1, 1, 1])","('KREANGA Kalinikos', [1, 1, 1, 1])","('LI Ching', 99)","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('MAZE Michael', [2, 1, 1, 2])","('RYU Seungmin', [1, 1, 2, 2])","('OH Sangeun', [1, 1, 1, 1])","('MATSUDAIRA Kenta', [1, 1, 1, 1])","('FANG Bo', [1, 1, 1, 1])","('JOO Saehyuk', [1, 2, 1, 2])","('JOO Saehyuk', [1, 2, 1, 2])","('MATSUDAIRA Kenta', [1, 1, 1, 1])","('JANG Woojin', [1, 1, 1, 1])","('FRANZISKA Patrick', [1, 1, 1, 1])","('PITCHFORD Liam', [1, 1, 1, 1])"
Rank 16,"('OH Sangeun', [1, 1, 1, 1])","('RYU Seungmin', [1, 1, 2, 2])","('SAIVE Jean-Michel', [1, 1, 1, 1])","('WALDNER Jan-Ove', [1, 1, 1, 1])","('KONG Linghui', [1, 1, 1, 1])","('HAO Shuai', [2, 1, 1, 2])","('SCHLAGER Werner', [1, 1, 1, 1])","('CHEUNG Yuk', [2, 1, 1, 2])","('LI Ching', 99)","('RYU Seungmin', [1, 1, 2, 2])","('KISHIKAWA Seiya', [1, 1, 1, 1])","('CHEN Qi', [2, 1, 1, 2])","('NIWA Koki', [2, 1, 1, 2])","('JOO Saehyuk', [1, 2, 1, 2])","('TANG Peng', [1, 1, 1, 1])","('GAUZY Simon', [1, 1, 1, 1])","('YAN An', [1, 1, 1, 1])","('PITCHFORD Liam', [1, 1, 1, 1])","('WANG Chuqin', [2, 1, 1, 2])","('FRANZISKA Patrick', [1, 1, 1, 1])"
Rank 17,"('MA Wenge', [1, 1, 1, 1])","('OH Sangeun', [1, 1, 1, 1])","('JOO Saehyuk', [1, 2, 1, 2])","('JOO Saehyuk', [1, 2, 1, 2])","('MAZE Michael', [2, 1, 1, 2])","('MA Long', [1, 1, 1, 1])","('HOU ^^ Yingchao', 99)","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('MIZUTANI Jun', [2, 1, 1, 2])","('HAO Shuai', [2, 1, 1, 2])","('GAO Ning', [1, 1, 1, 1])","('CRISAN Adrian', [1, 1, 1, 1])","('FREITAS Marcos', [2, 1, 1, 2])","('TANG Peng', [1, 1, 1, 1])","('YAN An', [1, 1, 1, 1])","('NIWA Koki', [2, 1, 1, 2])","('HARIMOTO Tomokazu', [1, 1, 1, 1])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('LEE Sangsu', [1, 1, 1, 1])","('NIWA Koki', [2, 1, 1, 2])"
Rank 18,"('PERSSON Jorgen', [1, 1, 1, 1])","('KIM Taeksoo', [1, 2, 1, 2])","('PRIMORAC Zoran', [1, 1, 1, 1])","('KARLSSON Peter', 99)","('SCHLAGER Werner', [1, 1, 1, 1])","('KONG Linghui', [1, 1, 1, 1])","('SMIRNOV Alexey', [1, 1, 1, 1])","('MAZE Michael', [2, 1, 1, 2])","('CHEUNG Yuk', [2, 1, 1, 2])","('SUSS Christian', [1, 1, 1, 1])","('HAO Shuai', [2, 1, 1, 2])","('MAZE Michael', [2, 1, 1, 2])","('ZHOU Yu', [2, 1, 1, 2])","('APOLONIA Tiago', [1, 1, 1, 1])","('LEE Sangsu', [1, 1, 1, 1])","('MATSUDAIRA Kenta', [1, 1, 1, 1])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('JEOUNG Youngsik', [1, 1, 1, 1])","('MIZUTANI Jun', [2, 1, 1, 2])"
Rank 19,"('KORBEL Petr', [1, 1, 1, 1])","('HEISTER Danny', [2, 1, 1, 2])","('HAO Shuai', [2, 1, 1, 2])","('OH Sangeun', [1, 1, 1, 1])","('PRIMORAC Zoran', [1, 1, 1, 1])","('LIU Guozheng', [1, 1, 1, 1])","('KAN Yo', 99)","('GAO Ning', [1, 1, 1, 1])","('RYU Seungmin', [1, 1, 2, 2])","('BAUM Patrick', [2, 1, 1, 2])","('MATTENET Adrien', [1, 1, 1, 1])","('GAO Ning', [1, 1, 1, 1])","('JOO Saehyuk', [1, 2, 1, 2])","('BAUM Patrick', [2, 1, 1, 2])","('GAO Ning', [1, 1, 1, 1])","('TANG Peng', [1, 1, 1, 1])","('FREITAS Marcos', [2, 1, 1, 2])","('GROTH Jonathan', [2, 1, 1, 2])","('WONG Chun Ting', [1, 1, 2, 2])","('WONG Chun Ting', [1, 1, 2, 2])"
Rank 20,"('BLASZCZYK Lucjan', 99)","('PERSSON Jorgen', [1, 1, 1, 1])","('QIU Yike', [1, 1, 1, 1])","('LEUNG Chu Yan', [1, 1, 2, 2])","('LEE Jungwoo', [2, 1, 2, 2])","('CRISAN Adrian', [1, 1, 1, 1])","('KO Lai Chak', 99)","('KAN Yo', 99)","('PERSSON Jorgen', [1, 1, 1, 1])","('TANG Peng', [1, 1, 1, 1])","('STEGER Bastian', [1, 1, 1, 1])","('RYU Seungmin', [1, 1, 2, 2])","('GAO Ning', [1, 1, 1, 1])","('CHEN Chien-An', [2, 1, 1, 2])","('GACINA Andrej', [1, 1, 1, 1])","('FEGERL Stefan', [1, 1, 1, 1])","('ZHOU Yu', [2, 1, 1, 2])","('LIM Jonghoon', [2, 1, 1, 2])","('ARUNA Quadri', [1, 1, 1, 1])","('GAUZY Simon', [1, 1, 1, 1])"
Rank 21,"('RYU Seungmin', [1, 1, 2, 2])","('KARLSSON Peter', 99)","('KIM Taeksoo', [1, 2, 1, 2])","('KEEN Trinko', [2, 1, 1, 2])","('MA Long', [1, 1, 1, 1])","('KORBEL Petr', [1, 1, 1, 1])","('PRIMORAC Zoran', [1, 1, 1, 1])","('JIANG Tianyi', [2, 1, 1, 2])","('PRIMORAC Zoran', [1, 1, 1, 1])","('SCHLAGER Werner', [1, 1, 1, 1])","('BAUM Patrick', [2, 1, 1, 2])","('LEE Jungwoo', [2, 1, 2, 2])","('TANG Peng', [1, 1, 1, 1])","('GIONIS Panagiotis', [1, 2, 1, 2])","('YOSHIMURA Maharu', [1, 1, 1, 1])","('CALDERANO Hugo', [1, 1, 1, 1])","('ARUNA Quadri', [1, 1, 1, 1])","('JEONG Sangeun', [1, 1, 1, 1])","('GAUZY Simon', [1, 1, 1, 1])","('ARUNA Quadri', [1, 1, 1, 1])"
Rank 22,"('CHUANG Chih-Yuan', [1, 1, 1, 1])","('MA Wenge', [1, 1, 1, 1])","('KARLSSON Peter', 99)","('CHEN Weixing', [1, 2, 1, 2])","('SMIRNOV Alexey', [1, 1, 1, 1])","('MAZE Michael', [2, 1, 1, 2])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('PERSSON Jorgen', [1, 1, 1, 1])","('JIANG Tianyi', [2, 1, 1, 2])","('SMIRNOV Alexey', [1, 1, 1, 1])","('MAZE Michael', [2, 1, 1, 2])","('NIWA Koki', [2, 1, 1, 2])","('CHEN Qi', [2, 1, 1, 2])","('MATSUDAIRA Kenta', [1, 1, 1, 1])","('FEGERL Stefan', [1, 1, 1, 1])","('STEGER Bastian', [1, 1, 1, 1])","('YOSHIDA Masaki', [1, 1, 1, 1])","('JEOUNG Youngsik', [1, 1, 1, 1])","('PITCHFORD Liam', [1, 1, 1, 1])","('LEE Sangsu', [1, 1, 1, 1])"
Rank 23,"('CHILA Patrick', [2, 1, 1, 2])","('CHEUNG Yuk', [2, 1, 1, 2])","('PERSSON Jorgen', [1, 1, 1, 1])","('HAO Shuai', [2, 1, 1, 2])","('LI Ching', 99)","('SAIVE Jean-Michel', [1, 1, 1, 1])","('MAZE Michael', [2, 1, 1, 2])","('CHEN Weixing', [1, 2, 1, 2])","('YOSHIDA Kaii', [1, 1, 2, 2])","('APOLONIA Tiago', [1, 1, 1, 1])","('NIWA Koki', [2, 1, 1, 2])","('ZHAN ^ Jian', 99)","('CHEN Chien-An', [2, 1, 1, 2])","('CHO Eonrae', [1, 1, 1, 1])","('GARDOS Robert', [1, 1, 1, 1])","('APOLONIA Tiago', [1, 1, 1, 1])","('FILUS Ruwen', [1, 2, 1, 2])","('GAUZY Simon', [1, 1, 1, 1])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('ZHAO Zihao', [1, 1, 2, 2])"
Rank 24,"('KARLSSON Peter', 99)","('MAZE Michael', [2, 1, 1, 2])","('ROSSKOPF Jorg', [2, 1, 1, 2])","('KORBEL Petr', [1, 1, 1, 1])","('KARLSSON Peter', 99)","('PRIMORAC Zoran', [1, 1, 1, 1])","('HE Zhiwen', [2, 1, 2, 2])","('PRIMORAC Zoran', [1, 1, 1, 1])","('SUSS Christian', [1, 1, 1, 1])","('GAO Ning', [1, 1, 1, 1])","('KIM Minseok', [1, 1, 1, 1])","('CHEN Weixing', [1, 2, 1, 2])","('STEGER Bastian', [1, 1, 1, 1])","('GACINA Andrej', [1, 1, 1, 1])","('OSHIMA Yuya', [1, 1, 1, 1])","('KARLSSON Kristian', [2, 1, 1, 2])","('JEONG Sangeun', [1, 1, 1, 1])","('KARLSSON Kristian', [2, 1, 1, 2])","('KARLSSON Kristian', [2, 1, 1, 2])","('GARDOS Robert', [1, 1, 1, 1])"
